,Topic,Word,P
774,2,adalah,0.0016061494
775,2,akhirnya,0.0015937404
776,2,oh,0.0015763248
777,2,jam,0.0015714169
778,2,belajar,0.0015656966
779,2,lagi,0.0015531436
780,2,lapor,0.0015509231
781,2,you,0.0015170617
782,2,ngapain,0.0015126928
783,2,klik,0.001501006
784,2,respon,0.0014980275
785,2,jika,0.0014741538
786,2,muhammad,0.0014355406
787,2,belum,0.0014352917
788,2,sebagai,0.001423873
789,2,yuk,0.0014198943
790,2,senin,0.0014159323
791,2,apalagi,0.0014080807
792,2,dok,0.0013965726
793,2,harusnya,0.0013701076
794,2,kini,0.0013675685
795,2,mantap,0.0013632633
796,2,sini,0.0013616764
797,2,lewat,0.0013575754
798,2,kasih,0.0013575339
799,2,dunia,0.0013319255
800,2,sosial,0.0013294511
801,2,foto,0.00132106
802,2,order,0.0012938312
803,2,sampai,0.001288962
804,2,beli,0.0012775018
805,2,sebenarnya,0.0012704008
806,2,emang,0.0012652577
807,2,karena,0.0012597389
808,2,real,0.0012347996
809,2,makin,0.0012330497
810,2,pada,0.0011632242
811,2,polisi,0.0011427604
812,2,nonton,0.0011316728
813,2,to,0.0010789866
814,2,ditunggu,0.0010752628
815,2,tangan,0.0010745225
816,2,yg_asli,0.0010716819
817,2,semakin,0.001070683
818,2,asal,0.0010368684
819,2,sekarang,0.0010146004
820,2,mah,0.0010008743
821,2,jasa,0.0009986496
822,2,boleh,0.000998575
823,2,hilang,0.0009889561
824,2,percaya,0.0009869537
825,2,rumah,0.0009843131
826,2,dong,0.0009667259
827,2,kartu,0.0009642895
828,2,ngopi,0.00094154064
829,2,elu,0.0009324106
830,2,murah,0.00091398245
831,2,saat,0.00091294764
832,2,g_plate,0.00091160863
833,2,polri,0.00090923795
834,2,tag,0.00090901984
835,2,pemuda,0.0009049665
836,2,dapat,0.00090009754
837,2,puan,0.00089672755
838,2,gini,0.0008931637
839,2,viral,0.0008866751
840,2,tahun,0.0008788166
841,2,teru,0.0008741982
842,2,berapa,0.0008677182
843,2,kalo,0.00086546066
844,2,jd,0.0008629414
845,2,menkominfo,0.0008553187
846,2,om,0.0008425268
847,2,plate,0.0008405805
848,2,tau,0.00083876343
849,2,kami,0.0008224837
850,2,kira,0.00081528944
851,2,johnni,0.00076747115
